id,parent_id,is_periodic_copy,shift_x_um,shift_y_um,x_um,y_um,r_um,diameter_um,x_mm,y_mm,r_mm,diameter_mm
68,57,False,0.0,0.0,71.85152772133239,18.02143297696159,3.4539663413837265,6.907932682767453,0.0718515277213324,0.018021432976961592,0.0034539663413837266,0.006907932682767453
69,58,False,0.0,0.0,21.698239004056816,33.466970140166666,3.5449870481038284,7.089974096207657,0.021698239004056815,0.03346697014016667,0.0035449870481038285,0.007089974096207657
70,59,False,0.0,0.0,37.00000854310818,17.632074032087253,3.7041603178977773,7.408320635795555,0.03700000854310818,0.017632074032087254,0.0037041603178977773,0.007408320635795555
71,60,False,0.0,0.0,38.68720377172983,41.54983727366372,3.4119399268281607,6.823879853656321,0.03868720377172983,0.04154983727366372,0.0034119399268281608,0.0068238798536563216
72,61,False,0.0,0.0,70.78521382882643,96.56734659333173,3.3438134923695992,6.6876269847391985,0.07078521382882642,0.09656734659333173,0.0033438134923695993,0.0066876269847391985
73,62,False,0.0,0.0,79.0662635653385,18.931798292163563,3.3410313865477077,6.682062773095415,0.0790662635653385,0.018931798292163564,0.003341031386547708,0.006682062773095416
74,63,False,0.0,0.0,49.2855797708429,17.9661440735712,3.346528043635966,6.693056087271932,0.0492855797708429,0.0179661440735712,0.003346528043635966,0.006693056087271932
75,64,False,0.0,0.0,95.59618455510466,31.142736952653138,3.2731701770682777,6.5463403541365555,0.09559618455510466,0.031142736952653138,0.0032731701770682777,0.0065463403541365555
76,65,False,0.0,0.0,15.175348043188775,37.00991375446803,3.3552999491221187,6.710599898244237,0.015175348043188775,0.03700991375446803,0.0033552999491221185,0.006710599898244237
77,66,False,0.0,0.0,13.952965782071871,15.35070916675406,3.7049826002175412,7.4099652004350824,0.01395296578207187,0.015350709166754059,0.0037049826002175414,0.007409965200435083
78,67,False,0.0,0.0,47.55789944717443,5.0205625759457675,3.4059600530341188,6.8119201060682375,0.04755789944717443,0.005020562575945768,0.0034059600530341187,0.0068119201060682375
